Time Step,Susceptible,Infected,Recovered,Infected/Total
171,616,0,1884,0.0
172,616,0,1884,0.0
173,616,0,1884,0.0
174,616,0,1884,0.0
175,616,0,1884,0.0
176,616,0,1884,0.0
177,616,0,1884,0.0
178,616,0,1884,0.0
179,616,0,1884,0.0
180,616,0,1884,0.0
181,616,0,1884,0.0
182,616,0,1884,0.0
183,616,0,1884,0.0
184,616,0,1884,0.0
185,616,0,1884,0.0
186,616,0,1884,0.0
187,616,0,1884,0.0
188,616,0,1884,0.0
189,616,0,1884,0.0
190,616,0,1884,0.0
191,616,0,1884,0.0
192,616,0,1884,0.0
193,616,0,1884,0.0
194,616,0,1884,0.0
195,616,0,1884,0.0
196,616,0,1884,0.0
197,616,0,1884,0.0
198,616,0,1884,0.0
199,616,0,1884,0.0
200,616,0,1884,0.0
